语料ID,文本,产品名称,年份,产品ID
餐饮评论-2079,"分量足，好吃，也很好看。除水果有点酸，非常不错呢
水果忌廉夹心蛋糕（二层）1个，约4磅，圆",清香面包店（车田街店）,2019,ID1079
餐饮评论-2080,"做工非常精致，很好看，性价比很高，味道也不错！值得推荐
蛋糕4选1,约3磅，圆形",优之品西点,2019,ID1080
餐饮评论-2081,"【口味】很好【服务】很好  特别是小4眼哥哥
3-4人火锅套餐",顺德火焰醉鹅坊（站北五路店）,2019,ID1081
餐饮评论-2082,"还不错，味道可以本人很帅红红火火恍恍惚惚
100元代金券1张，可叠加",相聚时光（光明店）,2019,ID1082
餐饮评论-2083,"好吃，送货也很快，满意，还会再来订蛋糕 #情迷黑森林#
蛋糕2选1,约1磅，圆",CAKE情迷黑森林,2019,ID1083
餐饮评论-2084,"味道不够咸，对于我的重口味，相对有点淡
海盐芝士爆浆1份",元晟坊蛋糕（南香公园店）,2019,ID1084
餐饮评论-2085,"一直是哪里老顾客了
蛋糕2选1,约4磅，圆",CAKE情迷黑森林,2019,ID1085
餐饮评论-2086,"选了一个套餐 环境挺好的 情侣值得推荐的好地方
豪华2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1086
餐饮评论-2087,"没有很甜，老人家很满意
2磅栗子蓉蛋糕1+2磅卡通蛋糕1",丰年面包店（茂南区店）,2019,ID1087
餐饮评论-2088,"还不错哦！
尝鲜单人餐，可免费使用包间",鲜饮时光（高州店）,2019,ID1088
餐饮评论-2089,"还行，奶油有点腻哦哦哦哦哦哦哦哦
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1089
餐饮评论-2090,"上菜很快，且不因为我是美团的就区别对待，环境好，儿子都喜欢这里了
双人下午茶套餐（高州店）",相聚时光（光明店）,2019,ID1090
餐饮评论-2091,"环境不错，上菜也快，味道不错，份量可以
单人扒餐，提供免费WiFi",相聚时光（光明店）,2019,ID1091
餐饮评论-2092,"茶好好喝，点心也好吃
双人下午茶套餐（高州店）",相聚时光（光明店）,2019,ID1092
餐饮评论-2093,"很棒
6人套餐，提供免费WiFi",顺德火焰醉鹅坊（站北五路店）,2019,ID1093
餐饮评论-2094,"份量少，价格高，服务一般，份量少，价格高，服务一般
尝鲜单人餐，可免费使用包间",鲜饮时光（高州店）,2019,ID1094
餐饮评论-2095,"菜品口味不怎么样？服务不怎么样？价格偏高
招牌原味紫菜卷1份，可免费使用包间",鲜饮时光（高州店）,2019,ID1095
餐饮评论-2096,"份量非常的少，非常少非常少，非常少
尝鲜单人餐，可免费使用包间",鲜饮时光（高州店）,2019,ID1096
餐饮评论-2097,"好吃，抵吃，推荐。拼团买的，三个单人餐满满的一盒。
尝鲜单人餐，可免费使用包间",鲜饮时光（高州店）,2019,ID1097
餐饮评论-2098,"蛋糕小了点，但是味道不错，配上饮料，来个下午茶尚可。
榴莲千层切件+粒粒芒果爽，建议单人使用",果之度（迎宾三路店）,2019,ID1098
餐饮评论-2099,"好吃
汉堡+鸡腿套餐，建议单人使用",优乐堡（开发区店）,2019,ID1099
餐饮评论-2100,"菜品口感不错，环境也很不错，服务态度好
豪华2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1100
餐饮评论-2101,"回头客了，口味好，环境也优美，赞！赞！赞！
豪华2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1101
餐饮评论-2102,"套餐不划算，建议单点。。。。。
寿司主题套餐，建议2人使用",瀛食精致料理,2019,ID1102
餐饮评论-2103,"服务不错！环境优美！菜品不错！服务生妹纸跟可爱！下次继续来！
高级2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1103
餐饮评论-2104,"#椒盐鱿鱼须# #奥尔良鸡翅# #菲力牛排# #澳洲至尊牛扒#
精致享受单人餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1104
餐饮评论-2105,"送到来就是图片的样子了，奶油有点发过融出水来了上面的芒果很熟好像烂的那种不甜也不香，好像很老的样子很多丝的那种有点失望，不是我想要的那种，也是第一次在这买
蛋糕2选1,约1磅，圆",CAKE情迷黑森林,2019,ID1105
餐饮评论-2106,"味道还可以，两个人点的一半还没吃完。
3-4人火锅套餐",顺德火焰醉鹅坊（站北五路店）,2019,ID1106
餐饮评论-2107,"上个铁板还要另外收费，恶心，环境一般般
高级2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1107
餐饮评论-2108,"好多榴莲肉………………
榴莲千层切糕1份",果之度（迎宾三路店）,2019,ID1108
餐饮评论-2109,"一级棒 鹅汁捞白饭超级好吃第三次吃了
6人套餐，提供免费WiFi",顺德火焰醉鹅坊（站北五路店）,2019,ID1109
餐饮评论-2110,"反正不好，这也叫鸡翅包饭？只能叫鸡皮包饭，还烤得焦焦的，那个奶茶吧！三份之二的冰，想骂人
鸡翅包饭套餐，建议单人使用",小乔紫菜卷（小乔店）,2019,ID1110
餐饮评论-2111,"不想多说，儿子学校搞美食节，买去给班里同学吃的，分量一般般
蟹柳海草紫菜卷1份",小乔紫菜卷（小乔店）,2019,ID1111
餐饮评论-2112,"蛋糕很好吃，选择对了，哈哈，服务很好，送到家门口，谢谢店家
蛋糕8选1",优之品西点,2019,ID1112
餐饮评论-2113,"味道好好哦，颜值高
鲜果植物奶油蛋糕(2磅)1个，约2磅，圆形",元晟坊蛋糕（南香公园店）,2019,ID1113
餐饮评论-2114,"味道还不错，有榴莲味，比较柔软
土豪超多榴莲千层蛋糕，约1磅1个，约1磅，圆",甜在心扉千层蛋糕（茂名店）,2019,ID1114
餐饮评论-2115,"还可以，位置也比较好找，就在金港湾附近，后面那条巷子里，记不清第几次吃了，味道都是不错的，就是很久都没有试过紫米的寿司卷了，，，大米的口感也是可以的，吃起来觉得新鲜，，周围环境也安静。就是那个台上的番茄酱太难倒在寿司上了。
紫菜肉松卷1份，提供免费WiFi",小乔紫菜卷（小乔店）,2019,ID1115
餐饮评论-2116,"一如既往的好吃
榴莲千层蛋糕1个，约2磅，圆形",果之度（为民店）,2019,ID1116
餐饮评论-2117,"下次打算去吃刺身的
寿司主题套餐，建议2人使用",瀛食精致料理,2019,ID1117
餐饮评论-2118,"服务周到，准时送达，价格适中。
栗子蛋糕1个，约8英寸，圆形",清香面包店（车田街店）,2019,ID1118
餐饮评论-2119,"挺好吃的
蛋糕8选1",优之品西点,2019,ID1119
餐饮评论-2120,"挺好的，继续努力，越做越好加油
雪媚娘/芒果千层切件2选1",CAKE情迷黑森林,2019,ID1120
餐饮评论-2121,"东西味道很好，喜欢这里的牛扒，这次用餐很愉快！
高级2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1121
餐饮评论-2122,"很好。
豪华2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1122
餐饮评论-2123,"不错不错，榴莲肉特别多，好吃
约3磅土豪版超多榴莲千层蛋糕(5层榴莲果肉)1个，约8英寸，圆",甜在心扉千层蛋糕（茂名店）,2019,ID1123
餐饮评论-2124,"料足 不错
超值单人餐",尊宝比萨（康泰又一城店）,2019,ID1124
餐饮评论-2125,"美团价实惠，服务很热情，已购买多回了。
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1125
餐饮评论-2126,"这是第一次购买，榴莲味比较纯，好吃
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1126
餐饮评论-2127,"不错，已是常客了这一次一共买了两块。
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1127
餐饮评论-2128,"还行，
榴莲千层蛋糕1个，约3磅，圆形",果之度（为民店）,2019,ID1128
餐饮评论-2129,"比食也好不知道多少 分量也超足  环境也好 还是回归了它的怀抱
200元代金券1张，可叠加2张",瀛食精致料理,2019,ID1129
餐饮评论-2130,"很实惠，蛋糕很软，非常好吃，2磅8个人吃刚刚好
栗子蛋糕1个，约2磅，圆",鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2019,ID1130
餐饮评论-2131,"味道不错喜欢这里的牛排
高级2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1131
餐饮评论-2132,"超级好，超级饿好吃，好评，好评，好评。
奶茶5选2，提供免费WiFi",元晟坊蛋糕（南香公园店）,2019,ID1132
餐饮评论-2133,"蛋糕好吃，不错呀
蛋糕2选1,约2磅，圆",CAKE情迷黑森林,2019,ID1133
餐饮评论-2134,"很好吃，老客户了，买了几回蛋糕
水果忌廉夹心蛋糕（一层）1个，约2.5磅，圆",清香面包店（车田街店）,2019,ID1134
餐饮评论-2135,"满意，口感不错
玫瑰花蛋糕1个，约2磅，心形",清香面包店（车田街店）,2019,ID1135
餐饮评论-2136,"口感还是很不错，我喜欢榴莲披萨。喜欢芝士焗榴莲，很不错，推荐大家
苏丹王黄金果肉榴莲比萨(10英寸)1份",尊宝比萨（康泰又一城店）,2019,ID1136
餐饮评论-2137,"好
200元代金券1张，可叠加2张",瀛食精致料理,2019,ID1137
餐饮评论-2138,"美团扒餐，好划算，味道不错
单人扒餐，提供免费WiFi",相聚时光（光明店）,2019,ID1138
餐饮评论-2139,"说好帮我印生日图案的，没有帮我印。榴莲肉三层的肯定不够五层的好吃。
9英寸重口味版榴莲千层蛋糕（约3磅）1个，约9英寸，圆形",甜在心扉千层蛋糕（茂名店）,2019,ID1139
餐饮评论-2140,"菜量可以，两份扒，两份小吃，两杯饮料，带小朋友去，一大一小吃不完。
豪华2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1140
餐饮评论-2141,"味道挺好吃的，服务态度很好，环境不错！第二次光顾了。
精彩单人餐",尊宝比萨（康泰又一城店）,2019,ID1141
餐饮评论-2142,"不错。吃过好多次了
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1142
餐饮评论-2143,"家人很喜欢，分量很足
榴莲千层蛋糕1个，约2磅，圆形",果之度（为民店）,2019,ID1143
餐饮评论-2144,"蛋糕美味，爱了，爱了，服务小姐姐热情，还会推荐好吃的果汁，很好喝，
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1144
餐饮评论-2145,"服务态度超好，好热情，蛋糕也很好吃，还会光临哦！
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1145
餐饮评论-2146,"服务态度很好，榴莲蛋糕好吃，棒棒哒！！
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1146
餐饮评论-2147,"服务热情，，蛋糕很好吃，，还会光临哦，
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1147
餐饮评论-2148,"超级好吃，榴莲香浓，美味，服务小姐姐非常热情周到，服务态度很好。
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1148
餐饮评论-2149,"店家服务很好，用料新鲜，口味不错
蛋糕8选1",优之品西点,2019,ID1149
餐饮评论-2150,"很值很好吃，买了很多次，老顾客了
水果忌廉夹心蛋糕（一层）1个，约2.5磅，圆",清香面包店（车田街店）,2019,ID1150
餐饮评论-2151,"泡芙很好吃，蛋挞的话中规中矩……相比之下还是泡芙好吃，虽然是有点冰，不过味道值得一试，小姐姐服务态度很好
蛋挞1个，提供免费WiFi",元晟坊蛋糕（南香公园店）,2019,ID1151
餐饮评论-2152,"冲的太淡了……不好喝，不过小姐姐服务态度很好，热情
奶茶5选2，提供免费WiFi",元晟坊蛋糕（南香公园店）,2019,ID1152
餐饮评论-2153,"【服务】服务员很热情很客气服务很好
精致享受单人餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1153
餐饮评论-2154,"【口味】【环境】【服务】【等位】
榴莲千层/草莓千层切2选1",CAKE情迷黑森林,2019,ID1154
餐饮评论-2155,"团购价格超实惠，鹅焖起来整个饭店里都是香的，等的时间虽然久，到味道很不错
6人套餐，提供免费WiFi",顺德火焰醉鹅坊（站北五路店）,2019,ID1155
餐饮评论-2156,"性价比很高哟，家人很喜欢，味道也不错！门店也很干净整洁，甜度也刚刚好适合他老人家，对于小朋友来说再甜一点就完美的，就是三榜8个人差点还不够分的！8个人以上的应该选4榜以上的！
蛋糕4选1,约3磅，圆形",优之品西点,2019,ID1156
餐饮评论-2157,"非常好吃，服务态度非常好，鹅饭很好吃
6人套餐，提供免费WiFi",顺德火焰醉鹅坊（站北五路店）,2019,ID1157
餐饮评论-2158,"环境很有气氛，茂名地区吃鹅就这家了，很正宗的感觉，下次去要记得焖软一点就更美味了。老板也很帅
6人套餐，提供免费WiFi",顺德火焰醉鹅坊（站北五路店）,2019,ID1158
餐饮评论-2159,"味道不错，就是有些水果比较酸，以后还会光顾的！
水果忌廉夹心蛋糕（二层）1个，约4磅，圆",清香面包店（车田街店）,2019,ID1159
餐饮评论-2160,"有座位不错，果之度挺好吃的。榴莲也相对比较多。
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1160
餐饮评论-2161,"非常好，价格便宜。打包方便。不用一会就可以完成交易。
雪媚娘/芒果千层切件2选1",CAKE情迷黑森林,2019,ID1161
餐饮评论-2162,"不错不错，价格也很便宜。下次还会来的。
榴莲千层/草莓千层切2选1",CAKE情迷黑森林,2019,ID1162
餐饮评论-2163,"价格便宜，经常来吃。下次还会来。。
雪媚娘/芒果千层切件2选1",CAKE情迷黑森林,2019,ID1163
餐饮评论-2164,"挺好吃的，津津有味，吃的很满意
3-4人火锅套餐",顺德火焰醉鹅坊（站北五路店）,2019,ID1164
餐饮评论-2165,"卖相好 吃了几口完全吃不下去 好腻好腻
精致享受单人餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2019,ID1165
餐饮评论-2166,"超级好吃
榴莲千层/榴莲雪媚娘2选1",鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2019,ID1166
餐饮评论-2167,"蛋糕很好吃，夹心非常棒和足料，送给小姑子的，她很喜欢，家人都很喜欢吃，以后蛋糕只认准蛋糕小王子了
水果忌廉夹心蛋糕（二层）1个，约4磅，圆",清香面包店（车田街店）,2019,ID1167
餐饮评论-2168,"味道不错，很喜欢吃榴莲千层。推荐
榴莲千层蛋糕1个，约2磅，圆形",果之度（迎宾三路店）,2019,ID1168
餐饮评论-2169,"好吃，不腻，样子也好看。有一个人吃一个蛋糕的冲动。
栗子蛋糕1个，约1磅，圆",CAKE情迷黑森林,2019,ID1169
餐饮评论-2170,"味道很好，很是喜欢，回头好多次了
美味单人套餐，提供免费WiFi",旺角亭（为民店）,2019,ID1170
餐饮评论-2171,"榴莲千层做的没有以前那么好吃了
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1171
餐饮评论-2172,"公司常驻饭堂，值得推荐，非常美味。
3-4人火锅套餐",顺德火焰醉鹅坊（站北五路店）,2019,ID1172
餐饮评论-2173,"很喜欢果之度的榴莲千层，棒！
榴莲千层切件蛋糕1件",果之度（为民店）,2019,ID1173
餐饮评论-2174,"每次想定个小蛋糕都订他们家，味道不错，刚好够四个人啦，虽然不是生日，作为奖励给小宝贝吃的
栗子蛋糕1个，约1磅，圆",CAKE情迷黑森林,2019,ID1174
餐饮评论-2175,"好吃
精致双人套餐，提供免费WiFi",瀛食精致料理,2019,ID1175
餐饮评论-2176,"好吃到不得了。推荐这家披萨
苏丹王黄金果肉榴莲比萨(10吋)1份",尊宝比萨（康泰又一城店）,2019,ID1176
餐饮评论-2177,"太难吃了，反正就是越做越差，味道不如以前
单人套餐，提供免费WiFi",相聚时光（光明店）,2019,ID1177
餐饮评论-2178,"在麻辣烫，炸货炒粉，沙煲粉中徘徊，最终还是败给了炸鸡，好想吃鸡了!  热热的好吃，
滋味烤鸡双人餐，提供免费WiFi",优乐堡（开发区店）,2020,ID1178
餐饮评论-2179,"服务态度好，蛋糕口味很好，奶油好吃，不腻。舍友们都很赞。
蛋糕8选1",优之品西点,2020,ID1179
餐饮评论-2180,"孩子上课附近，买东西方便，味道也不错，价格一般。
奶茶5选2，提供免费WiFi",元晟坊蛋糕（南香公园店）,2020,ID1180
餐饮评论-2181,"服务一般般吧，有点小要求都不能满足吧，不过鸡肉卷味道还不错
超值汉堡/鸡肉卷2选1",优乐堡（开发区店）,2020,ID1181
餐饮评论-2182,"第一次很多人，第二次就没有人了，连唱歌都没有了
精致享受单人餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2020,ID1182
餐饮评论-2183,"经常吃，而且很优惠哦
超值汉堡单人餐，提供免费WiFi",优乐堡（开发区店）,2020,ID1183
餐饮评论-2184,"挺好吃的，字体是和小朋友抢的时候碰到了，水果很甜很好吃
蛋糕8选1",优之品西点,2020,ID1184
餐饮评论-2185,"很好吃！超划算.吃得超饱的.喜欢喜欢  下次再来.
6人套餐，提供免费WiFi",顺德火焰醉鹅坊（站北五路店）,2020,ID1185
餐饮评论-2186,"很好，服务好
榴莲千层蛋糕1个，约2磅，圆形",果之度（为民店）,2020,ID1186
餐饮评论-2187,"味道不错，价格实惠，成品也好看，水果是新鲜的，很赞
水果忌廉夹心蛋糕（一层）1个，约2.5磅，圆",清香面包店（车田街店）,2020,ID1187
餐饮评论-2188,"#爱跳舞的钢管鸡#
单人套餐，提供免费WiFi",相聚时光（光明店）,2020,ID1188
餐饮评论-2189,"服务差！我第一次评论她服务差，经常来吃，有个阿姨服务啥的都很好，今天买了两个套餐，叫拿8个手套，说拿那么多干嘛，我说人多，她还在怼，我问你要肯定需要用到，不然我拿你手套来吃啊！就因为一次态度以后再不会去了！
滋味烤鸡双人餐，提供免费WiFi",优乐堡（开发区店）,2020,ID1189
餐饮评论-2190,"就是要求店家给多一包番茄酱都很难，唉，一包薯条就给一包番茄酱，感觉不够
超值汉堡单人餐，提供免费WiFi",优乐堡（开发区店）,2020,ID1190
餐饮评论-2191,"上菜快，服务好
双人下午茶套餐（高州店）",相聚时光（光明店）,2020,ID1191
餐饮评论-2192,"话不多说，超级好吃，不知道多少次回购了，是一口就爱上的味道
雪媚娘/芒果千层切件2选1",CAKE情迷黑森林,2020,ID1192
餐饮评论-2193,"奶油不是动物奶油，是乳脂奶油，口感会比动物奶油油腻一点点，但是比普通奶油好太多了。五点多打电话跟店家确认，八点几要蛋糕，店家爽快地说没问题。收到货造型比美团上面的强太多了，一开始害怕太素，后来发现装饰品刚刚好。里面的水果挺足的，火龙果和芒果夹心，芒果再熟一点会更好。这个价位和分量尺寸，我觉得10个人一起才吃得完，我们三个人吃盛一大半。性价比可以的哈！
蛋糕8选1",优之品西点,2020,ID1193
餐饮评论-2194,"挺好吃的，分量很足
3-4人火锅套餐",顺德火焰醉鹅坊（站北五路店）,2020,ID1194
餐饮评论-2195,"太好吃了推荐
榴莲千层/榴莲雪媚娘2选1",鲜滋味蛋糕·季念日生日蛋糕（茂南区店）,2020,ID1195
餐饮评论-2196,"好喜欢()嘿，好喝
奶茶5选2，提供免费WiFi",元晟坊蛋糕（南香公园店）,2020,ID1196
餐饮评论-2197,"不错(*`)
蛋挞1个，提供免费WiFi",元晟坊蛋糕（南香公园店）,2020,ID1197
餐饮评论-2198,"给男朋友买的蛋糕，就我自己一个人吃，他就吃了一口，唉
栗子蛋糕1个，约1磅，圆",CAKE情迷黑森林,2020,ID1198
餐饮评论-2199,"价格感人，味道很好()特别是焦糖玉子寿司，真的好吃，眼前一亮的那种。芒果寿司乍一看还觉得黑暗，入口之后反而觉得莫名很和味哈哈哈，非常值得一尝
尝鲜单人餐，可免费使用包间",鲜饮时光（高州店）,2020,ID1199
餐饮评论-2200,"总体还可以，鸡排没有想象中嫩滑。酱料不是我喜欢的口味。
爱可单人扒餐，提供免费WiFi",爱可咖啡馆（茂南店）,2020,ID1200
餐饮评论-2201,"有点小贵
超抵鸡腿堡2个，建议单人使用",优乐堡（开发区店）,2020,ID1201
餐饮评论-2202,"量很大，吃不完
精致享受单人餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2020,ID1202
餐饮评论-2203,"味道没有以前好了，越来越差，服务也不好
双人下午茶套餐（高州店）",相聚时光（光明店）,2020,ID1203
餐饮评论-2204,"紫菜卷很好吃，孩子们很喜欢，
休闲单人套餐，提供免费WiFi",旺角亭（为民店）,2020,ID1204
餐饮评论-2205,"很精致，吃了不会腻
栗子蛋糕1个，约1磅，圆",CAKE情迷黑森林,2020,ID1205
餐饮评论-2206,"真的难吃死了，又没有其他自助的菜式，什么服务态度，还加钱。以后都不来这里吃了！！！！！真的不好吃！！！
全部菜品2选1，有赠品",爵士厚牛排自助餐馆（汇丰店）,2020,ID1206
餐饮评论-2207,"份量挺多的，但服务员太忙，容易出错
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2020,ID1207
餐饮评论-2208,"牛逼开心开心叫你呢，那就睡觉是你自己你参加带你飞拜拜那你，很你到哪那你想建信基金那你想惊声尖叫的那你吃几次呢吧姑一次就是开心八点半好几次好好的吧大宝贝那就行几点能到你你你你的你家先进技术就是难受你家星级酒店嫩嫩你好喜欢喜欢，
滋味烤鸡双人餐，提供免费WiFi",优乐堡（开发区店）,2020,ID1208
餐饮评论-2209,"好吃，
水果忌廉夹心蛋糕（二层）1个，约4磅，圆",清香面包店（车田街店）,2020,ID1209
餐饮评论-2210,"第三次购买这家店的蛋糕了，很好吃，很好，就是今天的芒果太熟了，不怎么喜欢，跟老板提个建议，就是蛋糕帽不要放在盒子旁边了，有个折痕，有点难戴
水果忌廉夹心蛋糕（二层）1个，约4磅，圆",清香面包店（车田街店）,2020,ID1210
餐饮评论-2211,"没有以前的好吃了
约3磅（双层版）榴莲千层蛋糕1个，约3磅，圆形",甜在心扉千层蛋糕（茂名店）,2020,ID1211
餐饮评论-2212,"环境还可以，配搭可以，扒类分量一般，
豪华2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2020,ID1212
餐饮评论-2213,"好吃
休闲单人套餐，提供免费WiFi",旺角亭（为民店）,2020,ID1213
餐饮评论-2214,"好吃
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2020,ID1214
餐饮评论-2215,"原味紫菜卷好吃，好像招牌的料跟以前不一样了，感觉以前的招牌更好吃的
大胃王单人套餐，提供免费WiFi",旺角亭（为民店）,2020,ID1215
餐饮评论-2216,"第二次购买这家店的蛋糕了，真的是不仅好吃，卖相还好看，真的是超值划算，反正下次还是继续订这家！
水果忌廉夹心蛋糕（二层）1个，约4磅，圆",清香面包店（车田街店）,2020,ID1216
餐饮评论-2217,"蛋糕吃了不腻，水果也比较多，不错不错
草莓季节：双层新鲜草莓夹心（牛奶蛋糕底）/鲜草莓蛋糕2选1",CAKE情迷黑森林,2020,ID1217
餐饮评论-2218,"实惠
滋味烤鸡双人餐，提供免费WiFi",优乐堡（开发区店）,2020,ID1218
餐饮评论-2219,"榴莲千层可以，非常可以，简直棒棒
榴莲千层切糕1份",果之度（迎宾三路店）,2020,ID1219
餐饮评论-2220,"环境不错，牛排味道美味
豪华2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2020,ID1220
餐饮评论-2221,"服务态度很好，还会光临#套餐：榴莲千层切件蛋糕。
榴莲千层切件蛋糕1件",果之度（为民店）,2020,ID1221
餐饮评论-2222,"第一次买，味道不错，孩子们喜欢吃
蛋糕8选1",优之品西点,2020,ID1222
餐饮评论-2223,"吃了拉肚子，两个人都是，。。
榴莲千层切件蛋糕1件",果之度（为民店）,2020,ID1223
餐饮评论-2224,"榴莲的很好吃，牛肉的很咸，不知是牛肉咸还是火腿肠咸。不过，口感还行。
超值单人餐",尊宝比萨（康泰又一城店）,2020,ID1224
餐饮评论-2225,"我想说，这个意粉竟然吃了一口就没办法吃第二口了，闻到那味道，我都反胃了，不是我恶意中伤的，而是实在难吃，有种清凉的气味，究竟是加了什么呢？无法忍受的味道，只能给家婆喂鸡了，挺失望的，想不到会是这样的。第三幅图是翻了翻没法入口的图片，上面是我儿子放去的pizza的杂碎。
精彩单人餐",尊宝比萨（康泰又一城店）,2020,ID1225
餐饮评论-2226,"不知道怎么说，不够新鲜，综合来说就是不怎么好吃，还有那杯热巧克力，真的好难喝，喝了一口，没办法第二口了，倒厕所了，是不是因为现在病毒的问题，所以连品质都差了呢？真是可惜了那杯热巧克力，竟然那么难喝。晕
超值单人餐",尊宝比萨（康泰又一城店）,2020,ID1226
餐饮评论-2227,"以前在佛山和广州就吃过尊宝家榴莲披萨，非常爱！
苏丹王黄金果肉榴莲比萨(10吋)1份",尊宝比萨（康泰又一城店）,2020,ID1227
餐饮评论-2228,"三磅的榴莲千层土豪版买的普通版的拼团券然后加钱升级土豪版的。必须说土豪版真的很土豪，榴莲肉很多。家里长辈都说好（这简直太难了）味道赞！蛋糕上的字写得也不错！但是蛋糕的大小确实不大，应该是一二三磅都差不多大，只是千层的厚度不一样。奶油吃多了会腻，所以买榴莲千层就是一人只吃一块，刚刚好。
3磅榴莲千层蛋糕1个，约9英寸，圆形",果之度（迎宾三路店）,2020,ID1228
餐饮评论-2229,"挺新鲜，就是没有按标明的字写，失望
蛋糕2选1,约4磅，圆",CAKE情迷黑森林,2020,ID1229
餐饮评论-2230,"不错哦！挺好吃的蛋糕，水果很新鲜，蛋糕很松软好吃
水果忌廉蛋糕（3层）1个，约8磅，圆",清香面包店（车田街店）,2020,ID1230
餐饮评论-2231,"很好
千层榴莲1磅1个，约1磅，图形",甜在心扉千层蛋糕（茂名店）,2020,ID1231
餐饮评论-2232,"味道不错
爱可西冷牛扒1份",爱可咖啡馆（茂南店）,2020,ID1232
餐饮评论-2233,"坐垫脏得不忍直视这都不要紧，我和儿子两个人吃了都拉肚子，果断把其他的退了
单人套餐，提供免费WiFi",相聚时光（光明店）,2020,ID1233
餐饮评论-2234,"坐垫脏，味道太淡了，而且吃了还拉肚子
单人套餐，提供免费WiFi",相聚时光（光明店）,2020,ID1234
餐饮评论-2235,"#套餐：小吃 1 选 1好吃，不错。大家喜欢吃就下单吧
小吃1选1，提供免费WiFi",旺角亭（为民店）,2020,ID1235
餐饮评论-2236,"蛋糕挺好吃的，加钱换了款，很好说话的店家呢，已经回购好几次，不过这次的蛋糕可能因为款式原因，4磅刚刚够20个人一人一小块，以前定普通的会有点剩，不过蛋糕没的说，蛋糕胚很软哦，奶油有一点点点点腻，如果不喜欢吃奶油的可以让店家少做点，总体还是挺满意的，以后还有5磅的团购更好
蛋糕2选1,约4磅，圆",CAKE情迷黑森林,2020,ID1236
餐饮评论-2237,"挺好吃的 感觉奶油也没有很多 榴莲很香
榴莲千层蛋糕1个，约2磅，圆形",果之度（迎宾三路店）,2020,ID1237
餐饮评论-2238,"非常好吃，
高级2人扒餐，提供免费WiFi",优悦西餐厅（维斯顿店）,2020,ID1238
餐饮评论-2239,"一如既往，超级nice，不在家做饭，都会首选，nice
其他3选1，提供免费WiFi",爱可咖啡馆（茂南店）,2020,ID1239
餐饮评论-2240,"好吃()嘿
雪媚娘/芒果千层切件2选1",CAKE情迷黑森林,2020,ID1240
餐饮评论-2241,"就那样吧，一般般的店，有机会可能不来了
杨枝甘露布甸1杯",果之度（为民店）,2020,ID1241
餐饮评论-2242,"不好吃   #套餐：10英寸水果蛋糕（3公里免费配送） 1 个
10英寸水果蛋糕（3公里免费配送）1个，约10英寸，圆形",丰年面包店（茂南区店）,2020,ID1242
餐饮评论-2243,"不错，很好吃，吃了也不腻，。。。
爆浆鸡排一份1份",功夫鸡排（光华北路店）,2020,ID1243
餐饮评论-2244,"可以说老板人超好么，手机没电了让我充电，千层味道还不错，推荐
榴莲千层/草莓千层切2选1",CAKE情迷黑森林,2020,ID1244
餐饮评论-2245,"棒！第4次帮衬这家店了！
200元代金券1张，可叠加2张",瀛食精致料理,2020,ID1245
餐饮评论-2246,"地方好找，门口可停车，分量很足。#套餐：3-4 人火锅套餐热情好客
3-4人火锅套餐",顺德火焰醉鹅坊（站北五路店）,2020,ID1246
